id,path,canonical,transcript,speaker_id
THA_Nu_6_S00042_201,audio_data/train/THA_Nu_6_S00042_201.wav,à má đã có bé lê có hà là quà quý,à má đã có bé lê có hà là quà quý,S00042
MK_7_NAM_S0005_6,audio_data/train/MK_7_NAM_S0005_6.wav,bắc thang bẻ ổi chín vàng trên cây,bắc thang bẻ ổi chín vàng trên cây,S0005
TPA_Nu_6_S0009_109,audio_data/train/TPA_Nu_6_S0009_109.wav,ba cô ai cũng đẹp như trăng rằm,ba cô ai cũng đẹp như trăng rằm,S0009
NHM_7_NU_S0006_63,audio_data/train/NHM_7_NU_S0006_63.wav,dòng cửu long đã no đầy lại tràn qua bờ tràn qua cả mặt đường,dòng cửu long đã no đầy lại tràn qua bờ tràn qua cả mặt đường,S0006
THA_Nu_6_S00042_109,audio_data/train/THA_Nu_6_S00042_109.wav,khi nghi nói đến sư tử chó xù như thế nào,khi nghi nói đến sư tử chó xù như thế nào,S00042
GQM_Nam_6_S0006_65,audio_data/train/GQM_Nam_6_S0006_65.wav,tớ đã nhìn thấy cá heo và cá và cua,tớ đã nhìn thấy cá heo và cá và cua,S0006
DNK_7_NU_S0048_103,audio_data/train/DNK_7_NU_S0048_103.wav,lại phát ra những tiếng vi vu vi vút từ trên nền trời xanh thắm,lại phát ra những tiếng vi vu vi vút từ trên nền trời xanh thắm,S0048
NDBA_7_NAM_S0010_146,audio_data/train/NDBA_7_NAM_S0010_146.wav,người thì lên rừng rừng đốc thúc bộ hạ săn thú lạ bắt chim quý,người thì lên rừng rừng đốc thúc bộ hạ xăn thú lạ bắt chim quý,S0010
TTT_Nu_6_S00049_33,audio_data/train/TTT_Nu_6_S00049_33.wav,tìm tiếng có vần âm nhé,tìm tiếng có vần âm nhé,S00049
TPA_Nu_6_S0009_156,audio_data/train/TPA_Nu_6_S0009_156.wav,bây giờ tớ đọc lại nhé,bây giờ tớ đọc lại nhé,S0009
DNK_7_NU_S0048_171,audio_data/train/DNK_7_NU_S0048_171.wav,bài thơ tả dáng vẻ của mỗi loài chim đến bờ tre khác nhau thế nào,bài thơ tả dáng vẻ của mỗi loài chim đến bờ tre khác nhau thế nào,S0048
GQM_Nam_6_S0006_40,audio_data/train/GQM_Nam_6_S0006_40.wav,chuột mẹ la lớn như thế nào,chuột mẹ la lớn như thế nào,S0006
PC_7_NAM_S0004_96,audio_data/train/PC_7_NAM_S0004_96.wav,tớ rất thích về quê,tớ dất thích về quê,S0004
NMA_7_NU_S0002_105,audio_data/train/NMA_7_NU_S0002_105.wav,những con vật nào nhỏ nào cũng được tha địu hay cõng mà phải tự đi theo mẹ,những con vật nào nhỏ nào cũng được tha dịu hay cõng mà phải tự đi theo mẹ,S0002
THA_Nu_6_S0001_16,audio_data/train/THA_Nu_6_S0001_16.wav,đi xem đánh cá,đi xem đánh cá,S0001
PTT_7_NU_S0041_153,audio_data/train/PTT_7_NU_S0041_153.wav,bởi vì mùa hè nếu được nghỉ hè,bởi vì mùa hè nếu được nghỉ hè,S0041
MK_7_NU_S0007_4,audio_data/train/MK_7_NU_S0007_4.wav,mẹ tớ làm bố tớ nấu đồ ăn quét dọn nhà cửa,mẹ tớ làm bố tớ nấu đồ ăn quét dọn nhà cửa,S0007
TPA_Nu_6_S0009_138,audio_data/train/TPA_Nu_6_S0009_138.wav,thấy cô út đang nhào bột sóc con vội vàng đưa thư cho cô út,thấy cô út đang nhào bột xóc con vội vàng đưa thư cho cô út,S0009
LDMT_Nam_6_S00047_7,audio_data/train/LDMT_Nam_6_S00047_7.wav,đêm qua em nằm mơ dép chíp chíp của em bị chó lu tha đi,đêm qua em nằm mơ dép chíp chíp của em bị chó lu tha đi,S00047
NTM_Nam_6_S00010_33,audio_data/train/NTM_Nam_6_S00010_33.wav,cài cái đỏ đẫm cái đỏ ẵm em,cài cái đỏ đẫm cái đỏ ẵm em,S00010
THA_7_NU_S0043_44,audio_data/train/THA_7_NU_S0043_44.wav,nguyễn ngọc ký là tấm gương sáng về bí trí quật khó,nguyễn ngọc ký là tấm gương sáng về bí trí quật khó,S0043
DNK_7_NU_S0048_2,audio_data/train/DNK_7_NU_S0048_2.wav,tớ đọc trước,tớ đọc trước,S0048
PC_7_NAM_S0004_85,audio_data/train/PC_7_NAM_S0004_85.wav,buổi những buổi tối ngày nghỉ nó phun lửa rất đẹp đấy,buổi những buổi tối ngày nghỉ nó phun lửa dất đẹp đấy,S0004
