id,path,canonical,transcript,speaker_id,c_norm,t_norm,ph_error
THA_Nu_6_S00042_201,audio_data/train/THA_Nu_6_S00042_201.wav,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4,S00042,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4,False
MK_7_NAM_S0005_6,audio_data/train/MK_7_NAM_S0005_6.wav,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz,S0005,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz,False
TPA_Nu_6_S0009_109,audio_data/train/TPA_Nu_6_S0009_109.wav,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz,S0009,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz,False
NHM_7_NU_S0006_63,audio_data/train/NHM_7_NU_S0006_63.wav,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz,S0006,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz,False
THA_Nu_6_S00042_109,audio_data/train/THA_Nu_6_S00042_109.wav,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz,S00042,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz,False
GQM_Nam_6_S0006_65,audio_data/train/GQM_Nam_6_S0006_65.wav,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0,S0006,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0,False
DNK_7_NU_S0048_103,audio_data/train/DNK_7_NU_S0048_103.wav,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz,S0048,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz,False
NDBA_7_NAM_S0010_146,audio_data/train/NDBA_7_NAM_S0010_146.wav,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4,S0010,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4,False
TTT_Nu_6_S00049_33,audio_data/train/TTT_Nu_6_S00049_33.wav,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4,S00049,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4,False
TPA_Nu_6_S0009_156,audio_data/train/TPA_Nu_6_S0009_156.wav,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4,S0009,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4,False
DNK_7_NU_S0048_171,audio_data/train/DNK_7_NU_S0048_171.wav,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz,S0048,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz,ɓ aː-1 iz tʰ əː-0 t aː-3 z aː-4 ŋz v ɛ-3 k uə-3 m o-2 iz l w aː-1 iz t͡ɕ i-0 mz ɗ e-4 nz ɓ əː-1 t͡ɕ ɛ-0 x aː-4 kz ɲ a-0 uz tʰ e-4 n aː-1 uz,False
GQM_Nam_6_S0006_40,audio_data/train/GQM_Nam_6_S0006_40.wav,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz,S0006,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz,t͡ɕ w o-5 tz m ɛ-5 l aː-0 l əː-4 nz ɲ ɨ-0 tʰ e-4 n aː-1 uz,False
PC_7_NAM_S0004_96,audio_data/train/PC_7_NAM_S0004_96.wav,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0,S0004,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0,t əː-4 z ə-4 tz tʰ i-4 k̟z v e-1 k w e-0,False
NMA_7_NU_S0002_105,audio_data/train/NMA_7_NU_S0002_105.wav,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 ɗ i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 z i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5,S0002,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 ɗ i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5,ɲ ɨ-2 ŋz k ɔ-0 nz v ə-5 tz n aː-1 uz ɲ ɔ-3 n aː-1 uz k u-2 ŋmz ɗ ɨə-5 kz tʰ aː-0 z i-5 uz h a-0 iz k ɔ-2 ŋmz m aː-1 f aː-3 iz t ɨ-5 ɗ i-0 tʰ ɛ-0 uz m ɛ-5,True
THA_Nu_6_S0001_16,audio_data/train/THA_Nu_6_S0001_16.wav,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4,S0001,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4,ɗ i-0 s ɛ-0 mz ɗ eaː-4 ŋ̟z k aː-4,False
